socio1._.In which country do you work?,disa1._.Do you have a condition that is defined as a disability by your country?
Afghanistan,N/A
Afghanistan,N/A
Åland Islands,N/A
Argentina,No
Argentina,No
Argentina,No
Argentina,No
Argentina,No
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Australia,N/A
Austria,N/A
Austria,N/A
Austria,N/A
Austria,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Belgium,N/A
Brazil,N/A
Brazil,N/A
Canada,N/A
Canada,N/A
Canada,N/A
Canada,N/A
Canada,N/A
Canada,N/A
Canada,N/A
Canada,N/A
Canada,N/A
Canada,N/A
Canada,N/A
Chile,N/A
Colombia,N/A
Czech Republic,N/A
Denmark,N/A
Denmark,N/A
Denmark,N/A
Denmark,N/A
Denmark,N/A
Denmark,N/A
Denmark,N/A
Denmark,N/A
Denmark,N/A
Egypt,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
Finland,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
France,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
