startdate._.Date started,socio4qde._.Please select the range of your salary,socio4qnl._.Please select the range of your salary,socio4quk._.Please select the range of your salary,socio4qus._.Please select the range of your salary,socio4qzaf._.Please select the range of your salary,socio4qnzl._.Please select the range of your salary,socio4qaus._.Please select the range of your salary
2018-09-10 05:56:17,,,,,,"≥ NZD 65,000 and < NZD 85,000",
2018-09-10 08:50:33,,,,,,,
2018-09-10 10:19:30,,,"≥ £32,277 and < £43,325",,,,
2018-09-10 10:26:26,,,,,,,
2018-09-10 10:57:48,,,,,,,
2018-09-10 12:22:58,,,"≥ £24,057 and < £32,277",,,,
2018-09-10 12:58:32,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-09-10 14:24:04,,,,"From $70,000 to $89,999",,,
2018-09-10 14:30:15,,,"≥ £32,277 and < £43,325",,,,
2018-09-10 15:56:59,,,"≥ £32,277 and < £43,325",,,,
2018-09-10 16:53:00,,,,,,,"≥ AUD 65,000 and < AUD 85,000"
2018-09-10 18:07:26,,,"≥ £18,031 and < £24,057",,,,
2018-09-10 21:04:57,Prefer not to say,,,,,,
2018-09-10 22:46:37,Between 66.000 and 76.999 EUR,,,,,,
2018-09-11 02:40:39,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-11 03:13:51,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-11 04:57:38,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-11 05:45:48,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-11 05:47:53,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-11 06:28:35,,,,,,,"< AUD 45,000"
2018-09-11 06:29:52,,,,,,,
2018-09-11 06:36:08,,,,,,,"≥ AUD 45,000 and < AUD 65,000"
2018-09-11 06:37:14,,,,,,,"≥ AUD 120,000"
2018-09-11 08:09:40,,,,,,,"≥ AUD 45,000 and < AUD 65,000"
2018-09-11 08:26:16,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-11 09:40:37,,,,,,,
2018-09-11 10:24:10,,,"< £18,031",,,,
2018-09-11 11:26:25,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-11 12:42:03,,,,,,,
2018-09-11 13:01:44,,,,,,,"≥ AUD 120,000"
2018-09-11 21:24:53,,,,,,,
2018-09-12 00:29:29,,,,"From $130,000 to $149,999",,,
2018-09-12 01:57:26,,,,,,"≥ NZD 105,000 and < NZD 120,000",
2018-09-12 02:11:16,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-12 06:09:39,,,,,,,
2018-09-12 07:07:43,,,,,,,
2018-09-12 08:04:34,,Between 44.000 and 49.999 EUR,,,,,
2018-09-12 14:53:55,Less than 27.499 EUR,,,,,,
