Bus factor for World,Count,Percentage,Percentage in 2018,Difference with previous year
-1.0,1,0.11976047904191617,,
0.0,31,3.7125748502994016,3.5147392290249435,0.19783562127445808
1.0,441,52.81437125748503,52.83446712018141,-0.02009586269637964
1.3,1,0.11976047904191617,,
1.5,5,0.5988023952095809,0.22675736961451248,0.3720450255950684
2.0,221,26.46706586826347,28.117913832199548,-1.6508479639360765
3.0,70,8.383233532934131,8.049886621315192,0.33334691161893915
3.5,1,0.11976047904191617,,
4.0,18,2.155688622754491,3.2879818594104306,-1.1322932366559395
5.0,21,2.5149700598802394,1.473922902494331,1.0410471573859084
6.0,4,0.47904191616766467,0.6802721088435374,-0.20123019267587272
7.0,1,0.11976047904191617,0.45351473922902497,-0.3337542601871088
8.0,2,0.23952095808383234,0.11337868480725624,0.1261422732765761
10.0,8,0.9580838323353293,0.3401360544217687,0.6179477779135607
18.0,1,0.11976047904191617,,
20.0,2,0.23952095808383234,0.11337868480725624,0.1261422732765761
50.0,2,0.23952095808383234,0.11337868480725624,0.1261422732765761
100.0,2,0.23952095808383234,,
1000.0,1,0.11976047904191617,,
9999999999.0,1,0.11976047904191617,,
1e+20,1,0.11976047904191617,,
