Member of an association of RSE/RSD for United States,Count,Percentage,Percentage in 2017,Difference with previous year
Yes,6,5.084745762711865,5.797101449275362,-0.7123556865634972
No,112,94.91525423728814,94.20289855072464,0.7123556865634981
