Duration of contract in year for United Kingdom (without 95 percentile),Results in 2022,Results in 2018
count,38.0,167.0
mean,2.4921052631578946,6.830137724550897
std,1.1002165828420964,7.996474714926563
min,0.5,0.083
25%,2.0,2.375
50%,2.85,4.0
75%,3.0,6.0
max,4.5,35.0
