What is important for such organisation for Germany,Count,Percentage
Research software standards and interoperability definition,90,27.027027027027028
Networking,89,26.726726726726728
Research collaborations,79,23.723723723723726
Training,76,22.822822822822822
Job opportunities,58,17.417417417417415
