in which field for South Africa,Count,Percentage,Percentage in 2018,Difference with previous year
Agriculture & Forestry,2.0,100.0,0.0,100.0
Biological Sciences,2.0,100.0,43.47826086956522,56.52173913043478
Education,0.0,0.0,17.391304347826086,-17.391304347826086
Librarianship & Information Management,0.0,0.0,4.3478260869565215,-4.3478260869565215
Linguistics,0.0,0.0,4.3478260869565215,-4.3478260869565215
Electrical & Electronic Engineering,0.0,0.0,8.695652173913043,-8.695652173913043
Economics,0.0,0.0,4.3478260869565215,-4.3478260869565215
Communication & Media Studies,0.0,0.0,4.3478260869565215,-4.3478260869565215
Computer Science,0.0,0.0,52.17391304347826,-52.17391304347826
Mathematics,0.0,0.0,8.695652173913043,-8.695652173913043
Physics and Astronomy,0.0,0.0,17.391304347826086,-17.391304347826086
Psychology,0.0,0.0,4.3478260869565215,-4.3478260869565215
