Duration of contract in year for New Zealand (without 95 percentile),Results in 2022,Results in 2018
count,4.0,25.0
mean,2.5,11.872
std,1.2909944487358056,13.361995858902715
min,1.0,0.0
25%,1.75,2.0
50%,2.5,10.0
75%,3.25,12.0
max,4.0,45.0
