Field of education for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
Physics and Astronomy,58,22.48062015503876,22.52252252252252,-0.04190236748376108
Computer Science,57,22.093023255813954,25.525525525525527,-3.4325022697115735
Mathematics,23,8.914728682170542,7.207207207207207,1.7075214749633352
Biological Sciences,17,6.5891472868217065,7.207207207207207,-0.6180599203855008
Mechanical Engineering,15,5.813953488372093,3.303303303303303,2.5106501850687897
Geography & Environmental Sciences,13,5.038759689922481,7.5075075075075075,-2.468747817585027
Civil Engineering,10,3.875968992248062,1.2012012012012012,2.6747677910468606
Electrical & Electronic Engineering,9,3.488372093023256,5.405405405405405,-1.9170333123821495
Geology,7,2.7131782945736433,2.7027027027027026,0.010475591870940715
Linguistics,5,1.937984496124031,0.6006006006006006,1.3373838955234303
General Engineering,5,1.937984496124031,1.5015015015015014,0.4364829946225295
Chemistry,5,1.937984496124031,0.9009009009009009,1.0370835952231299
History,4,1.550387596899225,1.5015015015015014,0.048886095397723484
Agriculture & Forestry,4,1.550387596899225,0.3003003003003003,1.2500872965989247
Economics,3,1.1627906976744187,0.9009009009009009,0.26188979677351776
,3,1.1627906976744187,1.2012012012012012,-0.03841050352678255
Chemical Engineering,2,0.7751937984496124,1.5015015015015014,-0.726307703051889
Medicine,2,0.7751937984496124,0.3003003003003003,0.47489349814931214
Philosophy,2,0.7751937984496124,0.9009009009009009,-0.12570710245128847
Librarianship & Information Management,2,0.7751937984496124,0.9009009009009009,-0.12570710245128847
German,2,0.7751937984496124,0.9009009009009009,-0.12570710245128847
Anthropology,1,0.3875968992248062,,
Aeronautical & Manufacturing Engineering,1,0.3875968992248062,0.3003003003003003,0.08729659892450592
Business & Management Studies,1,0.3875968992248062,0.3003003003003003,0.08729659892450592
Communication & Media Studies,1,0.3875968992248062,0.3003003003003003,0.08729659892450592
Psychology,1,0.3875968992248062,0.6006006006006006,-0.21300370137579439
Classics & Ancient History,1,0.3875968992248062,0.6006006006006006,-0.21300370137579439
Materials Technology,1,0.3875968992248062,1.8018018018018018,-1.4142049025769956
Sociology,1,0.3875968992248062,,
Middle Eastern and African Studies,1,0.3875968992248062,,
Veterinary Medicine,1,0.3875968992248062,,
