Operating systems for United States,Count,Percentage,Percentage in 2018,Difference with previous year
GNU/Linux,74,56.060606060606055,63.1578947368421,-7.097288676236047
macOS,47,35.60606060606061,,
Windows,10,7.575757575757576,9.774436090225564,-2.1986785144679875
Other,1,0.7575757575757576,,
