Operating systems for World,Count,Percentage,Percentage in 2018,Difference with previous year
GNU/Linux,509,63.151364764267996,61.54747948417351,1.603885280094488
macOS,169,20.967741935483872,,
Windows,120,14.888337468982629,20.5158264947245,-5.6274890257418715
Other,8,0.9925558312655087,1.0550996483001172,-0.06254381703460843
