Did you participate in conference for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
Yes,87,60.83916083916085,58.17307692307693,2.6660839160839203
No,56,39.16083916083916,41.82692307692308,-2.6660839160839203
