Official job title for New Zealand,Count,Percentage
Section Head,1,4.0
Software Engineer,1,4.0
Applications Support Specialist,1,4.0
Research assistant,1,4.0
Data Science Informatician,1,4.0
Scientist/Expert Mathematics and Staistics,1,4.0
Research Data Analyst,1,4.0
Senior Scientific Engineer,1,4.0
Supercomputing services and support Consultant,1,4.0
Senior Scientist,1,4.0
Applications & Architecture Manager,1,4.0
Pedologist,1,4.0
Data scientist ,1,4.0
IT Applications and Architecture Manager,1,4.0
Bioinformatician,1,4.0
Research Software Engineer,1,4.0
Senior Research Fellow,1,4.0
data scientist,1,4.0
Postdoc Research Fellow,1,4.0
Climate Scientist,1,4.0
Data Science Software Engineer,1,4.0
Computer Officer,1,4.0
Digital Sciences Engineer,1,4.0
Data Software Architect,1,4.0
HPC research software engineer,1,4.0
