Contract type for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
Full Time,151,92.63803680981594,95.33898305084746,-2.7009462410315166
Part-time,12,7.361963190184049,4.23728813559322,3.1246750545908295
