Member of an association of RSE/RSD for United Kingdom,Count,Percentage,Percentage in 2017,Difference with previous year
Yes,76,46.34146341463415,71.49532710280374,-25.153863688169594
No,88,53.65853658536586,28.504672897196258,25.1538636881696
