Official job title for Australia,Count,Percentage
Scientific Programmer,2,6.896551724137931
Senior Research Computing Engineer,1,3.4482758620689653
Senior Learning Designer,1,3.4482758620689653
Professor,1,3.4482758620689653
Developer / Data Scientist,1,3.4482758620689653
Senior Research Computing Officer,1,3.4482758620689653
Software Engineer,1,3.4482758620689653
Senior Scientist,1,3.4482758620689653
Software Developer/Data Scientist,1,3.4482758620689653
Senior Research Scientist,1,3.4482758620689653
Postdoctoral Fellow,1,3.4482758620689653
Computational Biologist,1,3.4482758620689653
Research Assistant,1,3.4482758620689653
Software developer/data scientist,1,3.4482758620689653
PhD Student ,1,3.4482758620689653
Experimental scientist,1,3.4482758620689653
Research Fellow,1,3.4482758620689653
Research Fellow in Data Science,1,3.4482758620689653
Senior Manager Research,1,3.4482758620689653
Data Scientist,1,3.4482758620689653
Developer/Data Scientist,1,3.4482758620689653
Research Scientist,1,3.4482758620689653
Principal Research Scientist (Instrument Scientist),1,3.4482758620689653
Senior Public Health Officer,1,3.4482758620689653
Postdoctoral Researcher,1,3.4482758620689653
Senior Research Officer / Facility Fellow,1,3.4482758620689653
software developer,1,3.4482758620689653
System Architect,1,3.4482758620689653
