Number of time per year providing training for New Zealand (without 95 percentile),Results in 2022,Results in 2018
count,24.0,32.0
mean,1.3958333333333333,1.078125
std,1.5671850052178622,1.2320280618400257
min,0.0,0.0
25%,0.0,0.0
50%,1.0,1.0
75%,2.0,2.0
max,5.0,5.0
