Salary for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
"< NZD 45,000",,,,
"≥ NZD 45,000 and < NZD 65,000",3.0,11.538461538461538,14.705882352941178,-3.167420814479639
"≥ NZD 65,000 and < NZD 85,000",6.0,23.076923076923077,17.647058823529413,5.429864253393664
"≥ NZD 85,000 and < NZD 105,000",7.0,26.923076923076923,38.23529411764706,-11.312217194570135
"≥ NZD 105,000 and < NZD 120,000",3.0,11.538461538461538,11.76470588235294,-0.2262443438914019
"≥ NZD 120,000",5.0,19.230769230769234,5.88235294117647,13.348416289592762
