Highest level of education for Canada,Count,Percentage,Percentage in 2018,Difference with previous year
Doctorate,7,63.63636363636363,81.81818181818183,-18.181818181818194
Masters Degree,4,36.36363636363637,9.090909090909092,27.272727272727273
