member of a dedicated group for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
No,73,47.712418300653596,51.4018691588785,-3.6894508582249017
Yes,80,52.28758169934641,48.598130841121495,3.689450858224916
