Open source use for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,,,,
3,1.0,3.225806451612903,4.545454545454546,-1.3196480938416428
4,2.0,6.451612903225806,,
5,1.0,3.225806451612903,6.8181818181818175,-3.5923753665689144
6,,,,
7,2.0,6.451612903225806,3.4090909090909087,3.0425219941348973
8,7.0,22.58064516129032,15.909090909090908,6.671554252199412
9,2.0,6.451612903225806,11.363636363636363,-4.912023460410557
10 (All the time),14.0,45.16129032258064,39.77272727272727,5.388563049853367
