Use of version control for World,Count,Percentage,Percentage in 2018,Difference with previous year
Git,814.0,81.64493480441324,82.8140703517588,-1.1691355473455616
SVN,70.0,7.021063189568706,22.412060301507537,-15.39099711193883
None,30.0,3.009027081243731,3.819095477386935,-0.8100683961432038
Mercurial,10.0,1.0030090270812437,5.527638190954774,-4.524629163873531
CVS,9.0,0.9027081243731194,4.1206030150753765,-3.217894890702257
