Duration of contract in year for Netherlands (without 95 percentile),Results in 2022,Results in 2018
count,21.0,38.0
mean,2.538095238095238,8.881578947368421
std,1.191837317118486,11.472313446638525
min,1.0,1.0
25%,2.0,2.0
50%,2.0,4.0
75%,4.0,7.0
max,4.0,50.0
