Field of education for Netherlands,Count,Percentage,Percentage in 2018,Difference with previous year
Computer Science,16,24.242424242424242,20.37037037037037,3.872053872053872
Physics and Astronomy,14,21.21212121212121,33.33333333333333,-12.121212121212118
Biological Sciences,10,15.151515151515152,14.814814814814813,0.33670033670033916
Chemistry,4,6.0606060606060606,5.555555555555555,0.5050505050505052
Geography & Environmental Sciences,4,6.0606060606060606,3.7037037037037033,2.3569023569023573
Psychology,3,4.545454545454546,1.8518518518518516,2.693602693602694
Mathematics,2,3.0303030303030303,1.8518518518518516,1.1784511784511786
Electrical & Electronic Engineering,2,3.0303030303030303,3.7037037037037033,-0.673400673400673
Linguistics,2,3.0303030303030303,,
Medicine,2,3.0303030303030303,,
Communication & Media Studies,2,3.0303030303030303,1.8518518518518516,1.1784511784511786
Aeronautical & Manufacturing Engineering,1,1.5151515151515151,1.8518518518518516,-0.3367003367003365
,1,1.5151515151515151,,
Fashion,1,1.5151515151515151,,
Sociology,1,1.5151515151515151,,
Civil Engineering,1,1.5151515151515151,3.7037037037037033,-2.188552188552188
