Working with same researchers for South Africa,Count,Percentage,Percentage in 2018,Difference with previous year
"Different researchers, same research group",1,50.0,14.285714285714285,35.714285714285715
Regularly change researcher(s),1,50.0,42.857142857142854,7.142857142857146
