Which university for United Kingdom,Count,Percentage
University of Edinburgh,13,10.077519379844961
University of Cambridge,11,8.527131782945736
University of Oxford,11,8.527131782945736
University College London (UCL),10,7.751937984496124
"Durham University, Durham and Stockton-on-Tees (Queen's Campus)",10,7.751937984496124
University of Manchester,8,6.2015503875969
Imperial College London,7,5.426356589147287
Newcastle University,7,5.426356589147287
University of Birmingham,6,4.651162790697675
University of Sheffield,6,4.651162790697675
University of Nottingham,6,4.651162790697675
University of Bristol,5,3.875968992248062
University of Southampton,4,3.10077519379845
King's College London,4,3.10077519379845
Swansea University,2,1.550387596899225
Queen's University Belfast,2,1.550387596899225
"University of Hull, Hull and Scarborough",2,1.550387596899225
Cardiff University,2,1.550387596899225
University of York,2,1.550387596899225
Lancaster University,2,1.550387596899225
"University of East Anglia, Norwich",1,0.7751937984496124
University of Reading,1,0.7751937984496124
University of Leicester,1,0.7751937984496124
"University of Warwick, Coventry",1,0.7751937984496124
University of St Andrews,1,0.7751937984496124
University of Leeds,1,0.7751937984496124
OtherUniversity College London,1,0.7751937984496124
"The Open University, Milton Keynes",1,0.7751937984496124
University of Glasgow,1,0.7751937984496124
