Bus factor for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
0.0,4,15.384615384615385,,
1.0,13,50.0,67.64705882352942,-17.64705882352942
2.0,5,19.230769230769234,17.647058823529413,1.5837104072398205
3.0,1,3.8461538461538463,8.823529411764707,-4.97737556561086
5.0,2,7.6923076923076925,2.941176470588235,4.751131221719458
6.0,1,3.8461538461538463,,
