What is important for such an organisation for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
Networking,123.0,47.674418604651166,26.726726726726728,20.947691877924438
Research software standards and interoperability definition,103.0,39.922480620155035,27.027027027027028,12.895453593128007
Job opportunities,80.0,31.007751937984494,17.417417417417415,13.59033452056708
Training,73.0,28.294573643410853,22.822822822822822,5.471750820588031
Research collaborations,72.0,27.906976744186046,23.723723723723726,4.18325302046232
other. What would you hope to get out of such an organisation (check all that apply)? ,7.0,2.7131782945736433,0.0,2.7131782945736433
