Acknowledgment in paper for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Not mentioned at all,1.0,4.166666666666666,17.647058823529413,-13.480392156862747
Acknowledged in the main text,2.0,8.333333333333332,8.823529411764707,-0.49019607843137436
Acknowledged in acknowledgements section,6.0,25.0,20.588235294117645,4.411764705882355
Named as co-author,15.0,62.5,44.11764705882353,18.38235294117647
Named as main author,,,,
