What is important for such an organisation for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Networking,16.0,57.14285714285714,16.216216216216218,40.92664092664092
Research collaborations,12.0,42.857142857142854,10.81081081081081,32.04633204633204
Training,10.0,35.714285714285715,5.405405405405405,30.308880308880312
Research software standards and interoperability definition,8.0,28.57142857142857,8.108108108108109,20.46332046332046
Job opportunities,8.0,28.57142857142857,8.108108108108109,20.46332046332046
other. What would you hope to get out of such an organisation (check all that apply)? ,3.0,10.714285714285714,0.0,10.714285714285714
