Number of software projects for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
0.0,2,6.451612903225806,,
1.0,4,12.903225806451612,20.481927710843372,-7.57870190439176
2.0,10,32.25806451612903,21.686746987951807,10.571317528177225
3.0,5,16.129032258064516,19.27710843373494,-3.1480761756704254
4.0,3,9.67741935483871,14.457831325301203,-4.780411970462493
5.0,5,16.129032258064516,16.867469879518072,-0.7384376214535564
6.0,1,3.225806451612903,,
7.0,1,3.225806451612903,2.4096385542168677,0.8161678973960353
