Number of time per year providing training for United States (without 95 percentile),Results in 2022,Results in 2018
count,133.0,131.0
mean,1.669172932330827,1.5877862595419847
std,2.021557322399402,1.968483324825852
min,0.0,0.0
25%,0.0,0.0
50%,1.0,1.0
75%,2.0,2.0
max,10.0,8.0
