Bus factor for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
1.0,15,48.38709677419355,68.18181818181817,-19.79472140762462
2.0,10,32.25806451612903,18.181818181818183,14.076246334310849
3.0,4,12.903225806451612,5.681818181818182,7.2214076246334304
5.0,1,3.225806451612903,3.4090909090909087,-0.1832844574780057
10.0,1,3.225806451612903,,
