Highest level of education for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Doctorate,12,42.857142857142854,37.83783783783784,5.0193050193050155
Master degree,8,28.57142857142857,27.027027027027028,1.5444015444015413
Undergraduate degree,5,17.857142857142858,27.027027027027028,-9.16988416988417
Further Education,2,7.142857142857142,,
Other,1,3.571428571428571,2.7027027027027026,0.8687258687258685
