Contract type for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
Full Time,29,90.625,93.93939393939394,-3.3143939393939377
Part-time,2,6.25,5.05050505050505,1.1994949494949498
Prefer not to say,1,3.125,1.0101010101010102,2.1148989898989896
