Contract type for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
Full Time,202,84.16666666666667,79.87987987987988,4.2867867867867915
Part-time,37,15.416666666666668,18.91891891891892,-3.5022522522522515
Prefer not to say,1,0.4166666666666667,1.2012012012012012,-0.7845345345345345
