Top reason to choose current job for United States,Count,Percentage,Percentage in 2018,Difference with previous year
Desire to work in a research environment,44,29.53020134228188,27.77777777777778,1.7524235645041024
Desire to advance research,24,16.10738255033557,22.916666666666664,-6.809284116331096
Opportunity to develop software,24,16.10738255033557,12.5,3.6073825503355685
Freedom to choose own working practices,18,12.080536912751679,7.638888888888889,4.44164802386279
Opportunity for career advancement,15,10.06711409395973,7.638888888888889,2.4282252050708415
Ability to work across disciplines,8,5.369127516778524,1.3888888888888888,3.980238627889635
The salary,7,4.697986577181208,8.333333333333332,-3.635346756152124
I want to learn new skills,6,4.026845637583892,9.027777777777777,-5.000932140193885
Flexible working hours,3,2.013422818791946,2.7777777777777777,-0.7643549589858316
