What is important for such an organisation for South Africa,Count,Percentage,Percentage in 2018,Difference with previous year
Networking,2.0,100.0,30.434782608695656,69.56521739130434
Research collaborations,2.0,100.0,30.434782608695656,69.56521739130434
Training,2.0,100.0,30.434782608695656,69.56521739130434
Job opportunities,2.0,100.0,34.78260869565217,65.21739130434783
other. What would you hope to get out of such an organisation (check all that apply)? ,2.0,100.0,0.0,100.0
Research software standards and interoperability definition,1.0,50.0,30.434782608695656,19.565217391304344
