Number of software projects for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
0.0,3,1.4018691588785046,1.4285714285714286,-0.026702269692923997
1.0,39,18.22429906542056,17.142857142857142,1.0814419225634175
2.0,60,28.037383177570092,30.0,-1.9626168224299079
3.0,54,25.233644859813083,27.500000000000004,-2.2663551401869206
4.0,19,8.878504672897195,11.428571428571429,-2.5500667556742336
5.0,22,10.2803738317757,7.142857142857142,3.1375166889185575
6.0,3,1.4018691588785046,2.5,-1.0981308411214954
7.0,2,0.9345794392523363,0.35714285714285715,0.5774365821094791
8.0,1,0.46728971962616817,1.0714285714285714,-0.6041388518024032
10.0,4,1.8691588785046727,0.7142857142857143,1.1548731642189582
15.0,7,3.2710280373831773,,
