Number of software projects for World,Count,Percentage,Percentage in 2018,Difference with previous year
0.0,17,2.035928143712575,1.5330188679245282,0.5029092757880467
1.0,133,15.92814371257485,16.27358490566038,-0.345441193085529
2.0,218,26.107784431137727,25.825471698113205,0.2823127330245221
3.0,210,25.149700598802394,25.0,0.14970059880239361
4.0,85,10.179640718562874,10.731132075471699,-0.5514913569088247
5.0,88,10.538922155688622,10.495283018867925,0.043639136820697644
6.0,17,2.035928143712575,3.5377358490566038,-1.5018077053440289
7.0,17,2.035928143712575,0.9433962264150944,1.0925319172974806
8.0,10,1.1976047904191618,1.179245283018868,0.018359507400293795
10.0,17,2.035928143712575,2.1226415094339623,-0.08671336572138744
13.0,1,0.11976047904191617,,
15.0,22,2.6347305389221556,0.1179245283018868,2.516806010620269
