Citation of software for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,,,,
3,1.0,4.761904761904762,11.76470588235294,-7.002801120448178
4,3.0,14.285714285714285,2.941176470588235,11.34453781512605
5,2.0,9.523809523809524,11.76470588235294,-2.2408963585434165
6,,,,
7,1.0,4.761904761904762,2.941176470588235,1.8207282913165268
8,3.0,14.285714285714285,8.823529411764707,5.462184873949578
9,3.0,14.285714285714285,2.941176470588235,11.34453781512605
10 (All the time),7.0,33.33333333333333,29.411764705882355,3.9215686274509736
