Organisation type for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
University,10,37.03703703703704,37.83783783783784,-0.8008008008008005
Non-profit organization,4,14.814814814814813,2.7027027027027026,12.112112112112111
National laboratory,4,14.814814814814813,27.027027027027028,-12.212212212212215
Other,4,14.814814814814813,8.108108108108109,6.706706706706704
Government,3,11.11111111111111,16.216216216216218,-5.105105105105107
Private company,2,7.4074074074074066,8.108108108108109,-0.7007007007007022
