What is important for such an organisation for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
Networking,16.0,50.0,26.262626262626267,23.737373737373733
Job opportunities,14.0,43.75,21.21212121212121,22.53787878787879
Research software standards and interoperability definition,13.0,40.625,16.161616161616163,24.463383838383837
Training,9.0,28.125,17.17171717171717,10.95328282828283
Research collaborations,8.0,25.0,19.19191919191919,5.80808080808081
other. What would you hope to get out of such an organisation (check all that apply)? ,3.0,9.375,0.0,9.375
