Duration of contract in year for South Africa (without 95 percentile),Results in 2022,Results in 2018
count,0.0,19.0
mean,,5.947368421052632
std,,3.7634748159192566
min,,0.0
25%,,2.5
50%,,5.0
75%,,10.0
max,,12.0
