Number of software projects for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
0.0,1,3.8461538461538463,3.125,0.7211538461538463
1.0,1,3.8461538461538463,9.375,-5.528846153846153
2.0,6,23.076923076923077,21.875,1.2019230769230766
3.0,7,26.923076923076923,31.25,-4.326923076923077
5.0,6,23.076923076923077,21.875,1.2019230769230766
6.0,2,7.6923076923076925,6.25,1.4423076923076925
7.0,1,3.8461538461538463,,
10.0,1,3.8461538461538463,,
15.0,1,3.8461538461538463,,
