Number of software projects for Canada,Count,Percentage,Percentage in 2018,Difference with previous year
1.0,2,18.181818181818183,10.0,8.181818181818183
2.0,4,36.36363636363637,30.0,6.363636363636367
3.0,2,18.181818181818183,40.0,-21.818181818181817
4.0,3,27.27272727272727,10.0,17.27272727272727
