Duration of contract in year for Germany (without 95 percentile),Results in 2022,Results in 2018
count,149.0,262.0
mean,2.8342953020134227,4.0895038167938935
std,1.2537426430133947,4.771303763082187
min,0.0,0.0
25%,2.0,2.0
50%,3.0,3.0
75%,4.0,4.0
max,5.0,29.0
