Use of version control for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
Git,208.0,80.62015503875969,78.97897897897897,1.6411760597807188
SVN,19.0,7.3643410852713185,28.22822822822823,-20.863887142956912
None,9.0,3.488372093023256,6.606606606606606,-3.1182345135833502
Mercurial,2.0,0.7751937984496124,4.504504504504505,-3.7293107060548922
CVS,1.0,0.3875968992248062,3.903903903903904,-3.5163070046790974
