Attending a national conference of RSE/RSD for World,Count,Percentage,Percentage in 2018,Difference with previous year
Yes,628,86.62068965517241,81.41935483870968,5.201334816462733
No,97,13.379310344827585,18.580645161290324,-5.201334816462738
