Use of version control for South Africa,Count,Percentage,Percentage in 2018,Difference with previous year
Git,2.0,100.0,73.91304347826086,26.08695652173914
SVN,0.0,0.0,13.043478260869565,-13.043478260869565
None,0.0,0.0,13.043478260869565,-13.043478260869565
