Use of version control for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
Git,30.0,93.75,81.81818181818183,11.931818181818173
None,1.0,3.125,2.0202020202020203,1.1047979797979797
CVS,0.0,0.0,7.07070707070707,-7.07070707070707
SVN,0.0,0.0,20.2020202020202,-20.2020202020202
Mercurial,0.0,0.0,4.040404040404041,-4.040404040404041
