Operating systems for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
GNU/Linux,125,60.09615384615385,58.362989323843415,1.7331645223104317
Windows,47,22.596153846153847,29.8932384341637,-7.297084588009852
macOS,32,15.384615384615385,,
Other,4,1.9230769230769231,1.7793594306049825,0.14371749247194066
