Developing code for others for Canada,Count,Percentage,Percentage in 2018,Difference with previous year
3,1,14.285714285714285,36.36363636363637,-22.077922077922082
4,2,28.57142857142857,18.181818181818183,10.389610389610386
5 - Mostly other people,4,57.14285714285714,18.181818181818183,38.96103896103895
