What is important for such organisation for United States,Count,Percentage
Networking,55,37.41496598639456
Research software standards and interoperability definition,53,36.054421768707485
Training,48,32.6530612244898
Job opportunities,43,29.25170068027211
Research collaborations,39,26.53061224489796
