Number of time per year providing training for United Kingdom (without 95 percentile),Results in 2022,Results in 2018
count,136.0,202.0
mean,1.9213235294117648,2.3613861386138613
std,1.957035100207011,2.59027919880601
min,0.0,0.0
25%,0.0,0.0
50%,1.0,2.0
75%,3.0,3.0
max,9.0,12.0
