Duration of contract in year for World (without 95 percentile),Results in 2022,Results in 2018
count,87.0,39.0
mean,2.8241379310344827,9.0
std,1.3539748131731613,10.244382285967887
min,0.0,1.0
25%,2.0,2.0
50%,3.0,4.0
75%,4.0,13.5
max,6.0,35.0
