Use of version control for Netherlands,Count,Percentage,Percentage in 2018,Difference with previous year
Git,56.0,84.84848484848484,90.74074074074075,-5.892255892255903
SVN,7.0,10.606060606060606,24.074074074074073,-13.468013468013467
CVS,1.0,1.5151515151515151,1.8518518518518516,-0.3367003367003365
None,1.0,1.5151515151515151,0.0,1.5151515151515151
Mercurial,0.0,0.0,5.555555555555555,-5.555555555555555
