Where the previous job was based for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
University,96,60.0,64.7887323943662,-4.788732394366207
Private company,29,18.125,20.187793427230048,-2.062793427230048
This is my first job,12,7.5,,
National laboratory,8,5.0,4.225352112676056,0.774647887323944
Non-profit organization,7,4.375,1.8779342723004695,2.4970657276995305
Government,5,3.125,2.8169014084507045,0.30809859154929553
Other,3,1.875,6.103286384976526,-4.228286384976526
