How many years of software development experience for New Zealand (without 95 percentile),Results in 2022,Results in 2018
count,16.0,35.0
mean,5.5,14.514285714285714
std,3.723797345005051,9.747915097060284
min,1.0,1.0
25%,3.0,5.5
50%,4.0,15.0
75%,7.75,21.0
max,12.0,30.0
