Number of time per year providing training for Germany (without 95 percentile),Results in 2022,Results in 2018
count,204.0,281.0
mean,1.4019607843137254,0.8693950177935943
std,1.6295292554948706,1.13891677413394
min,0.0,0.0
25%,0.0,0.0
50%,1.0,0.0
75%,2.0,1.0
max,10.0,4.0
