Organisation type for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
University,129,79.14110429447852,73.30508474576271,5.836019548715811
National laboratory,15,9.202453987730062,10.59322033898305,-1.3907663512529886
Non-profit organization,8,4.9079754601226995,2.9661016949152543,1.9418737652074451
Government,5,3.067484662576687,5.084745762711865,-2.017261100135178
Other,3,1.8404907975460123,1.694915254237288,0.14557554330872424
Private company,3,1.8404907975460123,5.508474576271186,-3.6679837787251737
