What is important for such organisation for Australia,Count,Percentage
Networking,26,26.262626262626267
Job opportunities,21,21.21212121212121
Research collaborations,19,19.19191919191919
Training,17,17.17171717171717
Research software standards and interoperability definition,16,16.161616161616163
