Open source use for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,,,,
3,5.0,3.289473684210526,4.205607476635514,-0.9161337924249877
4,4.0,2.631578947368421,2.336448598130841,0.29513034923757964
5,12.0,7.894736842105263,6.074766355140187,1.819970486965076
6,8.0,5.263157894736842,2.803738317757009,2.4594195769798324
7,9.0,5.921052631578947,8.878504672897195,-2.9574520413182483
8,20.0,13.157894736842104,9.345794392523365,3.81210034431874
9,26.0,17.105263157894736,14.018691588785046,3.08657156910969
10 (All the time),60.0,39.473684210526315,43.45794392523364,-3.9842597147073278
