Highest level of education for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
Doctorate,124,70.85714285714285,70.33898305084746,0.5181598062953867
Master degree,35,20.0,20.33898305084746,-0.3389830508474603
Undergraduate degree,13,7.428571428571429,8.898305084745763,-1.4697336561743342
"Further Education (NVQ A-Level, ...)",1,0.5714285714285714,,
Other,1,0.5714285714285714,,
GSCEs,1,0.5714285714285714,0.423728813559322,0.14769975786924938
